repetition, create_time, mean_mean, mean_sd, time_mean
1,1.063500,-1.984481,0.048394,0.146662
2,1.274900,-1.928678,0.055120,0.075920
3,1.041400,-2.046815,0.145836,0.103365
4,0.586900,-2.024296,0.057897,0.077213
5,1.080500,-1.968324,0.094376,0.080605
6,0.505300,-1.919002,0.098334,0.072770
7,0.485300,-1.973487,0.049163,0.064255
8,0.520300,-2.087009,0.048834,0.061563
9,0.727700,-1.964313,0.053882,0.089853
10,0.454500,-1.938673,0.084916,0.077285
11,0.458700,-1.989718,0.054638,0.062348
12,0.528500,-2.089494,0.051407,0.071345
13,0.430000,-1.929309,0.063564,0.057832
14,0.489700,-1.989671,0.062274,0.051342
15,0.460800,-2.008174,0.055757,0.064130
16,0.392500,-2.033872,0.056952,0.052015
17,0.379500,-2.006449,0.062940,0.057027
18,0.463300,-1.996616,0.049126,0.051947
19,0.380800,-1.959561,0.065912,0.056037
20,0.390700,-1.972623,0.049342,0.055850
21,0.436100,-1.945344,0.056337,0.053717
22,0.418200,-1.932167,0.079646,0.052840
23,0.396300,-2.022642,0.047923,0.081838
24,0.438600,-2.025056,0.091209,0.053555
25,0.387500,-1.926019,0.053172,0.053975
26,0.394200,-2.018444,0.057928,0.093390
27,0.505700,-1.941109,0.051418,0.111298
28,0.552700,-2.051596,0.047739,0.097657
29,0.802000,-1.952750,0.053690,0.074345
30,0.448200,-2.006417,0.091649,0.072235
31,0.456900,-1.976928,0.049181,0.065748
32,0.481600,-1.886371,0.102293,0.062803
33,0.497700,-2.004778,0.076486,0.067620
34,0.504000,-1.933235,0.099637,0.065050
35,0.664500,-2.029615,0.053570,0.074267
36,0.518800,-1.964425,0.058238,0.068915
37,0.497700,-2.083735,0.075600,0.053628
38,0.483600,-1.972982,0.048713,0.087873
39,0.582300,-2.049724,0.115983,0.083630
40,0.588700,-2.121407,0.051656,0.087605
41,0.545600,-2.105171,0.067420,0.066747
42,0.450700,-2.043016,0.050678,0.064900
43,0.764100,-2.055944,0.066649,0.063487
44,0.474600,-1.957740,0.051718,0.069102
45,0.427000,-1.958500,0.053659,0.059517
46,0.401000,-1.982991,0.048233,0.066100
47,0.419600,-2.086909,0.049727,0.062290
48,0.441600,-1.958219,0.058477,0.064922
49,0.524000,-2.040916,0.058263,0.053357
