repetition, trial, tTest, response, mean_mean, mean_sd
1,1,-1.000000,1,-1.356632,1.241629
1,2,-1.356632,1,-1.677173,1.147428
1,3,-1.677173,1,-1.955802,1.037306
1,4,-1.955802,1,-2.194634,0.924403
1,5,-2.194634,0,-1.371991,0.887522
1,6,-1.371991,1,-1.566999,0.745941
1,7,-1.566999,1,-1.709634,0.617506
1,8,-1.709634,1,-1.814317,0.511488
1,9,-1.814317,1,-1.893180,0.428550
1,10,-1.893180,1,-1.955140,0.366922
1,11,-1.955140,1,-2.006415,0.324192
1,12,-2.006415,0,-1.818774,0.368823
1,13,-1.818774,1,-1.866135,0.297256
1,14,-1.866135,1,-1.901490,0.243148
1,15,-1.901490,1,-1.928853,0.201817
1,16,-1.928853,0,-1.822047,0.286404
1,17,-1.822047,1,-1.853309,0.229729
1,18,-1.853309,1,-1.876628,0.186740
1,19,-1.876628,1,-1.894899,0.154816
1,20,-1.894899,1,-1.909671,0.130186
1,21,-1.909671,1,-1.922143,0.112068
1,22,-1.922143,1,-1.932920,0.098511
1,23,-1.932920,1,-1.942465,0.088515
1,24,-1.942465,1,-1.951103,0.081228
1,25,-1.951103,1,-1.959061,0.075963
1,26,-1.959061,1,-1.966503,0.072194
1,27,-1.966503,1,-1.973547,0.069540
1,28,-1.973547,1,-1.980148,0.067575
1,29,-1.980148,1,-1.986505,0.066300
1,30,-1.986505,1,-1.992676,0.065599
1,31,-1.992676,1,-1.998577,0.065239
1,32,-1.998577,0,-1.972827,0.058121
1,33,-1.972827,1,-1.978026,0.056338
1,34,-1.978026,1,-1.983032,0.054887
1,35,-1.983032,1,-1.987784,0.053624
1,36,-1.987784,1,-1.992400,0.052576
1,37,-1.992400,0,-1.971933,0.052006
1,38,-1.971933,1,-1.976276,0.050634
1,39,-1.976276,1,-1.980476,0.049459
1,40,-1.980476,1,-1.984481,0.048394
2,1,-1.000000,1,-1.356632,1.241629
2,2,-1.356632,1,-1.677173,1.147428
2,3,-1.677173,1,-1.955802,1.037306
2,4,-1.955802,0,-1.022668,0.920733
2,5,-1.022668,1,-1.243175,0.792314
2,6,-1.243175,1,-1.407345,0.664640
2,7,-1.407345,1,-1.528574,0.555600
2,8,-1.528574,1,-1.619979,0.469044
2,9,-1.619979,1,-1.691387,0.403947
2,10,-1.691387,1,-1.749478,0.357738
2,11,-1.749478,1,-1.799050,0.328187
2,12,-1.799050,1,-1.843382,0.312592
2,13,-1.843382,1,-1.884687,0.308135
2,14,-1.884687,1,-1.925276,0.313581
2,15,-1.925276,1,-1.968533,0.329618
2,16,-1.968533,1,-2.016533,0.353548
2,17,-2.016533,1,-2.073942,0.385903
2,18,-2.073942,0,-1.889721,0.150380
2,19,-1.889721,1,-1.908717,0.138178
2,20,-1.908717,1,-1.925633,0.129889
2,21,-1.925633,1,-1.940999,0.124968
2,22,-1.940999,1,-1.954986,0.122469
2,23,-1.954986,1,-1.967889,0.122088
2,24,-1.967889,0,-1.915068,0.096220
2,25,-1.915068,1,-1.926233,0.088892
2,26,-1.926233,1,-1.936278,0.083112
2,27,-1.936278,1,-1.945415,0.078579
2,28,-1.945415,1,-1.953816,0.075061
2,29,-1.953816,1,-1.961484,0.072219
2,30,-1.961484,1,-1.968651,0.070117
2,31,-1.968651,0,-1.938393,0.068536
2,32,-1.938393,0,-1.907216,0.074498
2,33,-1.907216,1,-1.914856,0.069547
2,34,-1.914856,1,-1.921732,0.065432
2,35,-1.921732,1,-1.928068,0.062084
2,36,-1.928068,1,-1.933960,0.059316
2,37,-1.933960,1,-1.939394,0.056920
2,38,-1.939394,1,-1.944519,0.054888
2,39,-1.944519,1,-1.949300,0.053085
2,40,-1.949300,0,-1.928678,0.055120
3,1,-1.000000,1,-1.356632,1.241629
3,2,-1.356632,1,-1.677173,1.147428
3,3,-1.677173,1,-1.955802,1.037306
3,4,-1.955802,1,-2.194634,0.924403
3,5,-2.194634,1,-2.397219,0.814421
3,6,-2.397219,0,-1.694514,0.824371
3,7,-1.694514,1,-1.861512,0.682553
3,8,-1.861512,1,-1.982835,0.559974
3,9,-1.982835,0,-1.468560,0.764442
3,10,-1.468560,1,-1.619742,0.618754
3,11,-1.619742,1,-1.723067,0.493784
3,12,-1.723067,1,-1.794174,0.395002
3,13,-1.794174,0,-1.490523,0.606293
3,14,-1.490523,1,-1.590635,0.476156
3,15,-1.590635,1,-1.656108,0.373728
3,16,-1.656108,1,-1.700580,0.297137
3,17,-1.700580,1,-1.732502,0.239423
3,18,-1.732502,1,-1.756740,0.196237
3,19,-1.756740,1,-1.776288,0.164728
3,20,-1.776288,1,-1.792782,0.141602
3,21,-1.792782,1,-1.807072,0.124531
3,22,-1.807072,1,-1.820066,0.112823
3,23,-1.820066,1,-1.832026,0.104763
3,24,-1.832026,1,-1.843261,0.099504
3,25,-1.843261,1,-1.854000,0.096358
3,26,-1.854000,1,-1.864422,0.094799
3,27,-1.864422,1,-1.874673,0.094446
3,28,-1.874673,1,-1.884874,0.095032
3,29,-1.884874,1,-1.895133,0.096373
3,30,-1.895133,1,-1.905906,0.098739
3,31,-1.905906,1,-1.917001,0.101665
3,32,-1.917001,1,-1.928503,0.105073
3,33,-1.928503,1,-1.940486,0.108893
