repetition, create_time, quantile_mean, quantile_sd, time_quantile
1,25.127000,-2.028967,0.077059,8.186075
2,3.357700,-1.944992,0.058134,0.164505
3,0.602600,-1.974194,0.054023,0.181440
4,0.625000,-1.897114,0.066285,0.156935
5,0.841100,-2.022800,0.049894,0.177395
6,0.475900,-1.983838,0.054407,0.115540
7,0.500900,-2.047842,0.118662,0.113763
8,0.602200,-1.968903,0.055480,0.198370
9,0.628200,-2.049487,0.051046,0.188312
10,0.557200,-1.939832,0.050113,0.137027
11,0.477000,-1.986110,0.046512,0.121240
12,0.414000,-2.001678,0.055914,0.121127
13,0.421700,-2.023179,0.049207,0.136015
14,1.251500,-1.965445,0.055320,0.112265
15,0.430200,-1.798285,0.369284,0.101112
16,0.368200,-1.959281,0.194800,0.096833
17,0.391200,-1.992733,0.082573,0.108803
18,0.387300,-1.965233,0.082555,0.113373
19,0.386200,-1.978135,0.049151,0.113843
20,0.417300,-1.938533,0.067569,0.143440
21,0.424700,-1.994853,0.131597,0.104800
22,1.048600,-1.881771,0.102265,0.120955
23,0.389100,-2.163490,0.140184,0.125450
24,0.482100,-2.002856,0.049095,0.100940
25,0.365600,-1.979061,0.046573,0.151810
26,0.629300,-1.959710,0.068699,0.120325
27,0.399000,-2.082340,0.069945,0.113117
28,0.495600,-2.015709,0.053664,0.131722
29,0.602800,-1.982590,0.053677,0.129588
30,0.482400,-1.973663,0.050981,0.131315
31,0.762000,-1.946051,0.052096,0.146227
32,0.446100,-2.028132,0.050915,0.119875
33,0.523700,-2.055530,0.053249,0.182082
34,0.533000,-1.941907,0.048210,0.173687
35,0.490000,-2.016966,0.128650,0.148795
36,0.829500,-1.988477,0.049761,0.147475
37,0.442500,-1.996457,0.046443,0.139695
38,1.100400,-2.006646,0.050720,0.139768
39,0.814000,-2.002496,0.056568,0.189165
40,0.451700,-1.956853,0.048723,0.129692
41,1.091800,-1.931203,0.051722,0.124133
42,0.431400,-1.996524,0.071324,0.090510
43,0.353000,-1.999432,0.107361,0.087178
44,0.487900,-1.986974,0.049868,0.106935
45,0.500600,-1.998394,0.056115,0.133117
46,0.392700,-2.035192,0.049773,0.108933
47,0.471600,-1.987416,0.065258,0.122057
48,0.450500,-2.025307,0.048916,0.117220
49,0.488100,-1.950488,0.103181,0.109565
