repetition, trial, tTest, response, mode_mean, mode_sd
1,1,-1.000000,1,-1.356632,1.241629
1,2,-1.220000,1,-1.664935,1.134353
1,3,-1.420000,1,-1.915658,1.008054
1,4,-1.610000,1,-2.116555,0.884966
1,5,-1.790000,1,-2.280174,0.775375
1,6,-1.970000,1,-2.418984,0.682096
1,7,-2.140000,0,-1.663884,0.658234
1,8,-1.960000,0,-1.398641,0.720182
1,9,-1.810000,1,-1.516821,0.651682
1,10,-1.850000,1,-1.617809,0.579070
1,11,-1.880000,1,-1.702036,0.505898
1,12,-1.900000,1,-1.771101,0.434812
1,13,-1.920000,1,-1.826139,0.369842
1,14,-1.940000,1,-1.869485,0.313411
1,15,-1.950000,1,-1.904130,0.264829
1,16,-1.960000,1,-1.931915,0.224879
1,17,-1.970000,1,-1.954547,0.193615
1,18,-1.990000,1,-1.973539,0.171645
1,19,-1.990000,0,-1.907145,0.211441
1,20,-1.960000,1,-1.926679,0.177188
1,21,-1.970000,1,-1.942534,0.149637
1,22,-1.970000,1,-1.955747,0.127194
1,23,-1.980000,1,-1.966928,0.110030
1,24,-1.990000,1,-1.976652,0.097219
1,25,-1.990000,1,-1.985266,0.087554
1,26,-2.000000,1,-1.993082,0.080844
1,27,-2.010000,1,-2.000321,0.076456
1,28,-2.010000,1,-2.007054,0.073645
1,29,-2.020000,1,-2.013472,0.072352
1,30,-2.020000,1,-2.019569,0.072057
1,31,-2.030000,0,-1.995210,0.063039
1,32,-2.010000,1,-2.000760,0.059699
1,33,-2.010000,1,-2.005953,0.057096
1,34,-2.020000,0,-1.986051,0.060386
1,35,-2.000000,1,-1.991186,0.056942
1,36,-2.000000,1,-1.995978,0.054219
1,37,-2.010000,1,-2.000528,0.052106
1,38,-2.010000,1,-2.004828,0.050361
1,39,-2.010000,0,-1.987134,0.052767
1,40,-2.000000,1,-1.991432,0.050598
2,1,-1.000000,1,-1.356632,1.241629
2,2,-1.220000,1,-1.664935,1.134353
2,3,-1.420000,1,-1.915658,1.008054
2,4,-1.610000,1,-2.116555,0.884966
2,5,-1.790000,1,-2.280174,0.775375
2,6,-1.970000,1,-2.418984,0.682096
2,7,-2.140000,0,-1.663884,0.658234
2,8,-1.960000,1,-1.775482,0.596063
2,9,-2.010000,1,-1.871939,0.537823
2,10,-2.040000,1,-1.955850,0.484282
2,11,-2.070000,1,-2.028252,0.440210
2,12,-2.090000,1,-2.091456,0.406449
2,13,-2.110000,0,-1.891203,0.419149
2,14,-2.050000,0,-1.745772,0.522617
2,15,-1.990000,1,-1.815309,0.456984
2,16,-2.000000,1,-1.873336,0.392254
2,17,-2.020000,1,-1.919153,0.333854
2,18,-2.030000,1,-1.955621,0.281396
2,19,-2.040000,1,-1.984365,0.235941
2,20,-2.050000,1,-2.007065,0.197704
2,21,-2.060000,1,-2.025206,0.166326
2,22,-2.060000,1,-2.040072,0.140278
2,23,-2.070000,1,-2.052357,0.119969
2,24,-2.080000,0,-2.013079,0.159732
2,25,-2.050000,1,-2.026713,0.134236
2,26,-2.060000,1,-2.037931,0.114167
2,27,-2.060000,1,-2.047423,0.098066
2,28,-2.070000,1,-2.055599,0.085813
2,29,-2.070000,1,-2.062790,0.076272
2,30,-2.080000,1,-2.069248,0.069187
2,31,-2.080000,1,-2.075111,0.063755
2,32,-2.090000,0,-2.053317,0.073862
2,33,-2.070000,0,-2.029201,0.093230
2,34,-2.050000,1,-2.036520,0.081223
2,35,-2.060000,1,-2.042947,0.072174
2,36,-2.060000,1,-2.048698,0.065152
2,37,-2.060000,1,-2.053903,0.059749
2,38,-2.070000,1,-2.058705,0.055723
2,39,-2.070000,1,-2.063154,0.052580
2,40,-2.070000,1,-2.067304,0.050098
3,1,-1.000000,1,-1.356632,1.241629
3,2,-1.220000,1,-1.664935,1.134353
3,3,-1.420000,1,-1.915658,1.008054
3,4,-1.610000,1,-2.116555,0.884966
3,5,-1.790000,1,-2.280174,0.775375
3,6,-1.970000,1,-2.418984,0.682096
3,7,-2.140000,0,-1.663884,0.658234
3,8,-1.960000,1,-1.775482,0.596063
3,9,-2.010000,1,-1.871939,0.537823
3,10,-2.040000,1,-1.955850,0.484282
