repetition, trial, tTest, response, quantile_mean, quantile_sd
1,1,-0.647661,1,-1.323926,1.216125
1,2,-1.106588,1,-1.620842,1.117931
1,3,-1.474511,1,-1.884288,1.012953
1,4,-1.776842,1,-2.115703,0.908826
1,5,-2.034154,1,-2.316118,0.807871
1,6,-2.251309,1,-2.489290,0.713671
1,7,-2.437984,1,-2.638615,0.627468
1,8,-2.598948,0,-2.075473,0.639530
1,9,-2.174424,1,-2.198419,0.539696
1,10,-2.274347,0,-1.782510,0.680913
1,11,-1.927479,0,-1.217561,0.800517
1,12,-1.366183,1,-1.398771,0.686039
1,13,-1.533929,1,-1.535788,0.577086
1,14,-1.632809,1,-1.637812,0.480224
1,15,-1.701383,1,-1.714073,0.398076
1,16,-1.752375,1,-1.771920,0.330343
1,17,-1.791847,1,-1.816787,0.276102
1,18,-1.823648,1,-1.852484,0.233446
1,19,-1.850079,1,-1.881918,0.201208
1,20,-1.872854,1,-1.906795,0.177036
1,21,-1.892778,1,-1.928524,0.159651
1,22,-1.910659,1,-1.948164,0.147728
1,23,-1.927022,1,-1.966505,0.140048
1,24,-1.942396,1,-1.983577,0.135067
1,25,-1.956667,1,-2.000337,0.132549
1,26,-1.970552,0,-1.917706,0.104949
1,27,-1.913678,1,-1.929102,0.095388
1,28,-1.924113,1,-1.939354,0.088276
1,29,-1.933653,1,-1.948731,0.083033
1,30,-1.942479,1,-1.957439,0.079208
1,31,-1.950733,1,-1.965634,0.076473
1,32,-1.958450,1,-1.973442,0.074595
1,33,-1.965763,1,-1.980966,0.073421
1,34,-1.972794,1,-1.988092,0.072651
1,35,-1.979420,1,-1.995082,0.072419
1,36,-1.985739,1,-2.002012,0.072693
1,37,-1.991963,1,-2.008728,0.073219
1,38,-1.997865,1,-2.015502,0.074213
1,39,-2.003672,1,-2.022148,0.075409
1,40,-2.009309,1,-2.028967,0.077059
2,1,-0.647661,1,-1.323926,1.216125
2,2,-1.106588,1,-1.620842,1.117931
2,3,-1.474511,1,-1.884288,1.012953
2,4,-1.776842,1,-2.115703,0.908826
2,5,-2.034154,1,-2.316118,0.807871
2,6,-2.251309,1,-2.489290,0.713671
2,7,-2.437984,1,-2.638615,0.627468
2,8,-2.598948,0,-2.075473,0.639530
2,9,-2.174424,1,-2.198419,0.539696
2,10,-2.274347,0,-1.782510,0.680913
2,11,-1.927479,1,-1.917327,0.571856
2,12,-2.034619,0,-1.482625,0.736963
2,13,-1.649204,1,-1.637572,0.622121
2,14,-1.779045,1,-1.751521,0.517536
2,15,-1.852528,0,-1.386007,0.696774
2,16,-1.577842,1,-1.526176,0.584380
2,17,-1.672028,1,-1.626510,0.482292
2,18,-1.724748,1,-1.697909,0.393810
2,19,-1.759838,1,-1.748989,0.321046
2,20,-1.785937,1,-1.786501,0.262620
2,21,-1.806911,1,-1.814983,0.216073
2,22,-1.824421,1,-1.837227,0.179089
2,23,-1.839370,1,-1.855316,0.151356
2,24,-1.852671,1,-1.870493,0.130446
2,25,-1.864616,1,-1.883636,0.115121
